[Header]
Application Name	LabSolutions
Version	5.92
Data File Name	C:\LabSolutions\Data\Rokyta\Icenc-CLP2288_V1897.lcd
Output Date	2/6/2020
Output Time	8:18:11 AM

[File Information]
Type	Data File
Generated	10/11/2019 6:42:20 PM
Generated by	System Administrator
Modified	10/11/2019 9:02:48 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	10/11/2019 6:42:46 PM
Sample Type	0:Unknown
Level	0
Sample Name	Icenc-CLP2288_V1897
Sample ID	Icenc-CLP2288_V1897
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	44

[Original Files]
Data File	C:\LabSolutions\Data\Rokyta\Icenc-CLP2288_V1897.lcd
Method File	C:\LabSolutions\Data\Rokyta\Rokyta_HPLC.lcm
Batch File	C:\LabSolutions\Data\Rokyta\ACW_9samples_10-11-2019.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	50DPCP2-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	119
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.719	0.083	1.092	24643	818	30.131	0.000	   			0.000	12	12034.311	0.777	0.000	0.000	0	0	0.000	0.000
2	1.683	1.092	2.033	20804	760	27.386	0.000	   			1.341	86	1753.491	0.783	1.250	0.000	0	0	0.000	0.000
3	2.525	2.042	2.683	72862	4094	17.796	0.000	   			2.513	278	538.642	0.656	1.264	1.874	0	0	0.000	0.000
4	2.842	2.683	3.025	1022233	106106	9.634	0.000	   			2.953	1750	85.729	1.024	0.722	1.175	0	0	0.000	0.000
5	3.348	3.083	3.700	6052977	223191	27.120	0.000	   			3.657	12	12540.579	0.000	0.244	1.238	0	0	0.000	0.000
6	3.858	3.700	4.375	7116046	204031	34.877	0.000	 V 			4.366	4	39692.303	0.000	0.086	1.194	0	0	0.000	0.000
7	4.575	4.375	4.683	2978843	162501	18.331	0.000	 V 			5.365	1	125177.568	0.000	0.058	1.229	0	0	0.000	0.000
8	4.784	4.683	5.167	4433340	162437	27.293	0.000	 V 			5.655	8	18145.152	0.000	0.018	1.054	0	0	0.000	0.000
9	5.917	5.167	5.983	7251322	152265	47.623	0.000	 V 			7.231	0	763098.064	0.000	0.038	1.279	0	0	0.000	0.000
10	6.213	5.983	6.650	6045739	154126	39.226	0.000	 V 			7.643	4	40539.238	0.000	0.009	1.057	0	0	0.000	0.000
11	6.811	6.650	7.092	3885777	147410	26.360	0.000	 V 			8.475	2	79259.147	0.000	0.037	1.109	0	0	0.000	0.000
12	7.290	7.092	7.558	4046141	145162	27.873	0.000	 V 			9.142	2	63305.409	0.000	0.025	1.079	0	0	0.000	0.000
13	7.871	7.558	8.133	5019456	147879	33.943	0.000	 V 			9.949	6	23838.408	0.000	0.037	1.088	0	0	0.000	0.000
14	8.426	8.133	9.125	8545044	151779	56.299	0.000	 V 			10.722	1	291965.719	0.000	0.019	1.078	0	0	0.000	0.000
15	9.444	9.125	9.792	5570187	142956	38.964	0.000	 V 			12.137	20	7536.494	0.000	0.037	1.132	0	0	0.000	0.000
