[Header]
Application Name	LabSolutions
Version	5.92
Data File Name	C:\LabSolutions\Data\Rokyta\Icenc-SB0699_V2500.lcd
Output Date	2/6/2020
Output Time	8:18:13 AM

[File Information]
Type	Data File
Generated	9/11/2019 10:17:26 PM
Generated by	System Administrator
Modified	9/12/2019 12:37:52 AM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	9/11/2019 10:17:51 PM
Sample Type	0:Unknown
Level	0
Sample Name	Icenc-SB0699_V2500
Sample ID	Icenc-SB0699_V2500
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	2
Injection Volume	44

[Original Files]
Data File	C:\LabSolutions\Data\Rokyta\Icenc-SB0699_V2500.lcd
Method File	C:\LabSolutions\Data\Rokyta\Rokyta_HPLC.lcm
Batch File	C:\LabSolutions\Data\Rokyta\ACW_2samples_9-11-2019.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC1
Instrument #	2
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	90
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.757	0.125	1.108	26678	829	32.190	0.000	   			0.000	11	13482.275	0.000	0.000	0.000	0	0	0.000	0.000
2	1.691	1.108	2.042	23973	741	32.345	0.000	 V 			1.234	55	2731.581	0.000	1.026	0.000	0	0	0.000	0.000
3	2.505	2.042	2.650	93433	6115	15.279	0.000	   			2.308	959	156.435	0.655	1.315	1.871	0	0	0.000	0.000
4	2.787	2.658	2.967	782774	85052	9.203	0.000	   			2.680	1894	79.205	1.127	0.973	1.161	0	0	0.000	0.000
5	3.383	3.042	3.458	3270572	179455	18.225	0.000	   			3.468	2	80216.273	0.000	0.117	1.294	0	0	0.000	0.000
6	3.599	3.458	3.733	2975827	182769	16.282	0.000	 V 			3.753	4	37992.733	0.000	0.025	1.082	0	0	0.000	0.000
7	3.799	3.733	4.325	6134073	178021	34.457	0.000	 V 			4.017	1	192055.371	0.000	0.016	1.070	0	0	0.000	0.000
8	4.617	4.325	5.108	7714527	168252	45.851	0.000	 V 			5.098	4	36005.587	0.000	0.062	1.269	0	0	0.000	0.000
9	5.670	5.108	6.708	14968948	160744	93.123	0.000	 V 			6.488	1	102081.546	0.000	0.076	1.273	0	0	0.000	0.000
10	7.255	6.708	7.617	7991183	146937	54.385	0.000	 V 			8.582	0	0.000	0.000	0.000	1.323	0	0	0.000	0.000
11	7.977	7.617	8.567	8021614	144413	55.546	0.000	 V 			9.536	5	27511.461	0.000	0.000	1.111	0	0	0.000	0.000
12	9.053	8.567	9.483	7304964	132999	54.925	0.000	 V 			10.956	0	0.000	0.000	0.000	1.149	0	0	0.000	0.000
13	10.110	9.483	10.425	7137479	125617	56.819	0.000	 V 			12.353	0	0.000	0.000	0.000	1.127	0	0	0.000	0.000
14	10.968	10.425	11.308	6369413	119806	53.164	0.000	 V 			13.486	0	0.000	0.000	0.000	1.092	0	0	0.000	0.000
15	11.753	11.308	12.200	6134837	116134	52.826	0.000	 V 			14.523	6	23145.568	0.000	0.000	1.077	0	0	0.000	0.000
16	12.696	12.200	13.108	5898316	109351	53.939	0.000	 V 			15.769	7	20604.657	0.000	0.051	1.086	0	0	0.000	0.000
17	13.560	13.108	13.858	4576706	101459	45.109	0.000	 V 			16.910	0	0.000	0.000	0.000	1.072	0	0	0.000	0.000
18	14.608	13.858	15.442	8992674	97321	92.402	0.000	 V 			18.294	7	22806.810	0.000	0.000	1.082	0	0	0.000	0.000
19	15.818	15.442	16.142	3578065	85239	41.977	0.000	 V 			19.892	0	0.000	0.000	0.000	1.087	0	0	0.000	0.000
20	16.769	16.142	17.117	4883354	86196	56.654	0.000	 V 			21.148	86	1748.892	0.000	0.000	1.063	0	0	0.000	0.000
21	17.640	17.117	18.142	4847293	82129	59.021	0.000	 V 			22.298	51	2938.958	0.000	0.102	1.054	0	0	0.000	0.000
22	18.686	18.142	19.717	7453825	114363	65.177	0.000	 V 			23.680	2594	57.815	0.000	0.184	1.062	0	0	0.000	0.000
23	20.682	19.717	21.025	4754296	69498	68.409	0.000	 V 			26.316	978	153.373	0.000	0.971	1.111	0	0	0.000	0.000
24	21.241	21.025	22.267	3614431	60213	60.028	0.000	 V 			27.054	91	1656.778	0.000	0.097	1.028	0	0	0.000	0.000
25	22.513	22.267	22.900	1384139	37042	37.367	0.000	 V 			28.734	0	0.000	0.000	0.000	1.062	0	0	0.000	0.000
26	23.064	22.900	23.433	1028142	32917	31.235	0.000	 V 			29.461	0	0.000	0.000	0.000	1.025	0	0	0.000	0.000
27	24.176	23.433	24.758	2181916	29797	73.226	0.000	 V 			30.930	402	373.316	0.000	0.000	1.050	0	0	0.000	0.000
28	24.946	24.758	25.208	513911	19327	26.590	0.000	 V 			31.947	0	0.000	0.000	0.000	1.033	0	0	0.000	0.000
29	25.365	25.208	25.742	496313	16341	30.372	0.000	 V 			32.501	0	0.000	0.000	0.000	1.017	0	0	0.000	0.000
30	25.977	25.742	26.367	424643	11940	35.564	0.000	 V 			33.309	0	0.000	0.000	0.000	1.025	0	0	0.000	0.000
31	26.610	26.367	26.783	189055	7334	25.778	0.000	 V 			34.146	0	0.000	0.000	0.000	1.025	0	0	0.000	0.000
32	27.196	26.783	27.642	165237	3504	47.158	0.000	 V 			34.919	0	0.000	0.000	0.000	1.023	0	0	0.000	0.000
33	28.609	27.825	28.867	26421	729	36.264	0.000	   			36.786	3770	39.791	0.000	0.000	1.053	0	0	0.000	0.000
34	29.239	28.867	30.558	55978	1011	55.379	0.000	 V 			37.618	2647	56.659	0.000	0.305	1.023	0	0	0.000	0.000
35	30.796	30.567	31.408	2074	73	28.600	0.000	   			39.674	31140	4.817	1.852	1.048	1.055	0	0	0.000	0.000
36	31.758	31.475	32.000	2013	85	23.578	0.000	   			40.945	938	159.859	0.000	0.397	1.032	0	0	0.000	0.000
37	32.454	32.000	33.067	10532	263	40.120	0.000	 V 			41.864	13756	10.904	0.000	0.265	1.022	0	0	0.000	0.000
38	35.490	34.825	35.783	2750	91	30.380	0.000	   			45.873	16754	8.953	0.720	2.755	1.096	0	0	0.000	0.000
39	36.516	36.208	36.900	1330	65	20.502	0.000	   			47.228	80868	1.855	1.118	1.275	1.030	0	0	0.000	0.000
40	38.559	37.592	39.133	35218	744	47.326	0.000	   			49.927	14591	10.280	0.000	2.282	1.057	0	0	0.000	0.000
41	40.413	39.133	41.383	133894	2506	53.422	0.000	 V 			52.376	14653	10.237	0.000	1.420	1.049	0	0	0.000	0.000
42	42.358	41.942	42.767	2581	98	26.429	0.000	   			54.944	59676	2.514	1.009	1.917	1.049	0	0	0.000	0.000
43	43.603	42.950	43.867	3972	120	32.985	0.000	   			56.588	42106	3.562	0.704	1.612	1.030	0	0	0.000	0.000
44	46.533	45.967	46.675	3756	139	27.122	0.000	   			60.459	0	0.000	0.000	0.000	1.068	0	0	0.000	0.000
45	47.529	46.675	47.717	102085	3223	31.670	0.000	 V 			61.773	11830	12.679	0.000	0.000	1.022	0	0	0.000	0.000
46	48.438	47.717	50.142	599156	11311	52.972	0.000	SV 			62.975	23186	6.469	0.000	0.602	1.019	0	0	0.000	0.000
47	49.700	49.475	50.100	4014	214	18.768	0.000	T  			64.640	157989	0.949	1.382	1.423	1.026	0	0	0.000	0.000
48	50.602	50.142	51.000	87675	2587	33.886	0.000	 V 			65.832	40102	3.740	0.000	1.194	1.018	0	0	0.000	0.000
49	51.304	51.000	52.225	72378	2259	32.037	0.000	 V 			66.759	50452	2.973	0.000	0.729	1.014	0	0	0.000	0.000
50	52.404	52.225	53.042	4232	139	30.475	0.000	   			68.212	79645	1.883	2.264	1.328	1.022	0	0	0.000	0.000
51	53.415	53.125	54.708	11410	273	41.810	0.000	   			69.548	55164	2.719	2.895	1.225	1.020	0	0	0.000	0.000
52	55.875	55.375	56.067	33593	1554	21.611	0.000	   			72.796	57839	2.593	0.000	2.674	1.047	0	0	0.000	0.000
53	56.349	56.067	56.717	73884	2717	27.192	0.000	 V 			73.423	76639	1.957	0.000	0.544	1.009	0	0	0.000	0.000
54	56.938	56.717	58.042	45591	1503	30.324	0.000	 V 			74.201	39993	3.751	0.000	0.603	1.011	0	0	0.000	0.000
55	60.523	60.342	60.867	1372	78	17.669	0.000	   			78.935	289421	0.518	1.331	4.512	1.064	0	0	0.000	0.000
56	61.163	60.867	61.500	6428	252	25.541	0.000	   			79.781	38011	3.946	0.000	0.751	1.011	0	0	0.000	0.000
57	61.791	61.500	62.700	13239	379	34.899	0.000	 V 			80.610	72952	2.056	0.000	0.579	1.010	0	0	0.000	0.000
58	67.152	65.717	67.300	63768	1735	36.762	0.000	   			87.690	9438	15.894	0.000	2.913	1.088	0	0	0.000	0.000
59	67.555	67.300	67.883	64852	2002	32.400	0.000	 V 			88.222	8658	17.326	0.000	0.142	1.006	0	0	0.000	0.000
