Time,Icenc-SB0699,Icenc-SB0587,Icenc-CLP2288
4,5494,6649,30332
4.00833,5353,6501,28862
4.01667,5222,6362,27481
4.025,5102,6231,26188
4.03333,4991,6107,24983
4.04167,4890,5990,23866
4.05,4800,5879,22832
4.05833,4719,5774,21878
4.06667,4647,5675,21002
4.075,4581,5581,20200
4.08333,4521,5491,19471
4.09167,4466,5406,18811
4.1,4416,5327,18216
4.10833,4370,5249,17684
4.11667,4326,5175,17208
4.125,4283,5102,16785
4.13333,4241,5032,16409
4.14167,4198,4963,16073
4.15,4154,4896,15771
4.15833,4109,4830,15497
4.16667,4065,4765,15247
4.175,4020,4701,15017
4.18333,3974,4638,14802
4.19167,3927,4577,14600
4.2,3877,4518,14408
4.20833,3827,4464,14223
4.21667,3777,4416,14046
4.225,3727,4376,13878
4.23333,3677,4347,13715
4.24167,3626,4333,13556
4.25,3575,4336,13400
4.25833,3526,4363,13244
4.26667,3478,4419,13085
4.275,3432,4511,12922
4.28333,3390,4646,12752
4.29167,3351,4833,12576
4.3,3318,5081,12395
4.30833,3292,5401,12211
4.31667,3274,5798,12027
4.325,3265,6280,11847
4.33333,3266,6849,11676
4.34167,3279,7504,11520
4.35,3301,8239,11389
4.35833,3335,9041,11288
4.36667,3379,9897,11224
4.375,3432,10784,11203
4.38333,3494,11678,11228
4.39167,3563,12554,11304
4.4,3638,13387,11433
4.40833,3717,14153,11614
4.41667,3798,14837,11844
4.425,3879,15420,12120
4.43333,3960,15897,12434
4.44167,4041,16263,12775
4.45,4121,16517,13133
4.45833,4201,16667,13500
4.46667,4281,16719,13867
4.475,4361,16687,14223
4.48333,4444,16583,14560
4.49167,4528,16421,14874
4.5,4613,16208,15159
4.50833,4701,15956,15414
4.51667,4790,15673,15635
4.525,4879,15365,15821
4.53333,4968,15038,15975
4.54167,5053,14694,16098
4.55,5134,14337,16191
4.55833,5209,13965,16255
4.56667,5277,13580,16293
4.575,5335,13182,16305
4.58333,5383,12772,16295
4.59167,5419,12349,16263
4.6,5444,11915,16212
4.60833,5460,11470,16145
4.61667,5465,11016,16063
4.625,5461,10556,15970
4.63333,5447,10091,15870
4.64167,5425,9623,15767
4.65,5394,9153,15670
4.65833,5352,8685,15584
4.66667,5300,8221,15516
4.675,5236,7763,15472
4.68333,5162,7313,15461
4.69167,5074,6872,15485
4.7,4975,6441,15544
4.70833,4862,6021,15639
4.71667,4736,5613,15763
4.725,4595,5217,15909
4.73333,4440,4832,16070
4.74167,4271,4457,16234
4.75,4088,4092,16391
4.75833,3894,3736,16529
4.76667,3691,3389,16638
4.775,3478,3050,16711
4.78333,3257,2717,16739
4.79167,3026,2390,16717
4.8,2789,2071,16639
4.80833,2547,1759,16503
4.81667,2300,1454,16307
4.825,2048,1157,16052
4.83333,1792,870,15739
4.84167,1532,594,15371
4.85,1268,329,14949
4.85833,1004,77,14477
4.86667,739,-159,13961
4.875,475,-378,13404
4.88333,211,-580,12811
4.89167,-53,-763,12186
4.9,-316,-926,11534
4.90833,-576,-1069,10860
4.91667,-833,-1192,10168
4.925,-1085,-1293,9463
4.93333,-1330,-1373,8746
4.94167,-1571,-1431,8021
4.95,-1807,-1469,7291
4.95833,-2036,-1485,6559
4.96667,-2256,-1482,5830
4.975,-2468,-1460,5103
4.98333,-2670,-1419,4383
4.99167,-2865,-1361,3674
5,-3050,-1284,2975
5.00833,-3226,-1189,2292
5.01667,-3391,-1080,1627
5.025,-3545,-956,980
5.03333,-3686,-817,356
5.04167,-3815,-664,-243
5.05,-3932,-497,-816
5.05833,-4035,-317,-1359
5.06667,-4123,-125,-1872
5.075,-4196,79,-2350
5.08333,-4253,293,-2792
5.09167,-4293,516,-3199
5.1,-4317,750,-3567
5.10833,-4324,991,-3893
5.11667,-4314,1239,-4178
5.125,-4289,1491,-4420
5.13333,-4248,1746,-4617
5.14167,-4192,2005,-4770
5.15,-4122,2265,-4879
5.15833,-4039,2525,-4943
5.16667,-3944,2783,-4966
5.175,-3839,3036,-4947
5.18333,-3725,3286,-4890
5.19167,-3602,3531,-4797
5.2,-3470,3768,-4671
5.20833,-3329,4000,-4518
5.21667,-3180,4226,-4341
5.225,-3025,4446,-4145
5.23333,-2862,4660,-3933
5.24167,-2695,4868,-3710
5.25,-2523,5071,-3480
5.25833,-2343,5268,-3249
5.26667,-2157,5463,-3018
5.275,-1966,5655,-2788
5.28333,-1771,5843,-2561
5.29167,-1572,6029,-2341
5.3,-1367,6210,-2127
5.30833,-1157,6387,-1918
5.31667,-943,6556,-1713
5.325,-727,6716,-1510
5.33333,-507,6864,-1311
5.34167,-286,6997,-1112
5.35,-63,7112,-913
5.35833,162,7205,-711
5.36667,389,7274,-505
5.375,616,7319,-296
5.38333,841,7338,-82
5.39167,1066,7332,137
5.4,1290,7300,363
5.40833,1510,7242,595
5.41667,1727,7162,832
5.425,1940,7061,1075
5.43333,2148,6942,1322
5.44167,2353,6807,1575
5.45,2553,6660,1832
5.45833,2748,6502,2093
5.46667,2936,6336,2356
5.475,3117,6163,2619
5.48333,3291,5986,2884
5.49167,3459,5807,3150
5.5,3622,5628,3416
5.50833,3778,5451,3680
5.51667,3927,5276,3943
5.525,4070,5104,4203
5.53333,4207,4936,4460
5.54167,4337,4772,4712
5.55,4460,4614,4960
5.55833,4576,4462,5203
5.56667,4685,4315,5439
5.575,4787,4173,5668
5.58333,4882,4039,5889
5.59167,4969,3911,6103
5.6,5049,3789,6307
5.60833,5121,3673,6503
5.61667,5184,3565,6690
5.625,5238,3464,6868
5.63333,5282,3368,7037
5.64167,5316,3279,7195
5.65,5342,3197,7345
5.65833,5359,3121,7486
5.66667,5366,3052,7619
5.675,5365,2990,7746
5.68333,5356,2931,7866
5.69167,5340,2876,7979
5.7,5317,2827,8085
5.70833,5288,2783,8185
5.71667,5254,2742,8280
5.725,5215,2706,8370
5.73333,5174,2673,8453
5.74167,5129,2643,8532
5.75,5082,2617,8606
5.75833,5032,2593,8675
5.76667,4980,2573,8739
5.775,4926,2558,8798
5.78333,4871,2544,8855
5.79167,4816,2534,8907
5.8,4761,2528,8956
5.80833,4705,2526,9001
5.81667,4649,2527,9042
5.825,4592,2530,9080
5.83333,4535,2536,9115
5.84167,4478,2545,9147
5.85,4420,2557,9175
5.85833,4363,2571,9199
5.86667,4307,2586,9219
5.875,4250,2603,9236
5.88333,4193,2622,9249
5.89167,4137,2642,9260
5.9,4082,2662,9268
5.90833,4027,2682,9273
5.91667,3973,2703,9275
5.925,3920,2725,9273
5.93333,3867,2747,9269
5.94167,3815,2769,9262
5.95,3765,2792,9254
5.95833,3715,2814,9245
5.96667,3665,2838,9238
5.975,3616,2862,9233
5.98333,3569,2885,9230
5.99167,3522,2909,9231
6,3476,2932,9237
6.00833,3432,2954,9251
6.01667,3389,2977,9272
6.025,3347,3001,9304
6.03333,3305,3025,9346
6.04167,3266,3049,9399
6.05,3228,3074,9465
6.05833,3191,3097,9545
6.06667,3156,3121,9639
6.075,3124,3145,9746
6.08333,3094,3166,9867
6.09167,3066,3188,10001
6.1,3038,3210,10149
6.10833,3014,3232,10306
6.11667,2993,3254,10473
6.125,2974,3274,10645
6.13333,2956,3295,10818
6.14167,2939,3315,10990
6.15,2924,3334,11156
6.15833,2910,3351,11312
6.16667,2899,3367,11453
6.175,2887,3380,11577
6.18333,2876,3391,11680
6.19167,2865,3400,11760
6.2,2855,3406,11814
6.20833,2843,3408,11842
6.21667,2829,3406,11844
6.225,2815,3399,11819
6.23333,2800,3387,11772
6.24167,2784,3370,11702
6.25,2766,3349,11611
6.25833,2747,3323,11503
6.26667,2728,3292,11380
6.275,2708,3256,11244
6.28333,2686,3215,11097
6.29167,2662,3169,10940
6.3,2638,3119,10777
6.30833,2611,3066,10609
6.31667,2584,3010,10437
6.325,2556,2950,10264
6.33333,2527,2888,10091
6.34167,2496,2822,9917
6.35,2465,2754,9744
6.35833,2432,2682,9572
6.36667,2399,2608,9401
6.375,2365,2531,9232
6.38333,2331,2452,9065
6.39167,2296,2372,8901
6.4,2260,2291,8739
6.40833,2221,2209,8580
6.41667,2180,2127,8424
6.425,2139,2045,8271
6.43333,2097,1962,8121
6.44167,2055,1880,7975
6.45,2013,1797,7833
6.45833,1970,1712,7694
6.46667,1926,1628,7561
6.475,1881,1546,7431
6.48333,1836,1465,7307
6.49167,1792,1384,7187
6.5,1747,1303,7073
6.50833,1702,1223,6964
6.51667,1657,1143,6860
6.525,1613,1063,6762
6.53333,1570,984,6670
6.54167,1528,908,6584
6.55,1488,832,6504
6.55833,1450,759,6430
6.56667,1412,689,6362
6.575,1376,620,6299
6.58333,1342,555,6243
6.59167,1310,491,6193
6.6,1280,431,6148
6.60833,1252,373,6109
6.61667,1227,319,6077
6.625,1204,268,6051
6.63333,1184,220,6030
6.64167,1165,175,6017
6.65,1149,134,6011
6.65833,1135,96,6012
6.66667,1123,62,6020
6.675,1114,33,6034
6.68333,1108,7,6056
6.69167,1104,-15,6084
6.7,1102,-33,6116
6.70833,1101,-47,6153
6.71667,1103,-59,6194
6.725,1109,-68,6238
6.73333,1115,-75,6283
6.74167,1123,-81,6328
6.75,1133,-83,6372
6.75833,1144,-82,6414
6.76667,1157,-80,6452
6.775,1172,-76,6486
6.78333,1188,-70,6514
6.79167,1206,-63,6536
6.8,1225,-54,6551
6.80833,1244,-44,6558
6.81667,1264,-32,6557
6.825,1286,-21,6547
6.83333,1308,-8,6528
6.84167,1330,4,6501
6.85,1350,17,6468
6.85833,1371,30,6429
6.86667,1393,42,6384
6.875,1413,55,6331
6.88333,1434,68,6273
6.89167,1455,80,6209
6.9,1476,92,6140
6.90833,1497,104,6067
6.91667,1516,116,5992
6.925,1536,127,5916
6.93333,1556,138,5839
6.94167,1576,150,5763
6.95,1596,162,5688
6.95833,1616,174,5616
6.96667,1636,187,5545
6.975,1656,200,5478
6.98333,1676,213,5415
6.99167,1697,226,5356
7,1720,241,5302
7.00833,1744,256,5252
7.01667,1768,273,5208
7.025,1795,291,5168
7.03333,1824,309,5135
7.04167,1853,328,5107
7.05,1884,347,5083
7.05833,1916,366,5064
7.06667,1949,387,5049
7.075,1986,409,5039
7.08333,2024,431,5032
7.09167,2062,454,5029
7.1,2102,476,5029
7.10833,2144,498,5035
7.11667,2186,518,5043
7.125,2228,539,5053
7.13333,2270,559,5066
7.14167,2315,577,5082
7.15,2360,593,5101
7.15833,2404,607,5122
7.16667,2447,621,5144
7.175,2490,634,5168
7.18333,2530,646,5194
7.19167,2568,655,5221
7.2,2602,664,5248
7.20833,2633,670,5276
7.21667,2659,675,5303
7.225,2681,678,5329
7.23333,2698,682,5354
7.24167,2710,684,5378
7.25,2716,687,5400
7.25833,2717,689,5419
7.26667,2711,691,5435
7.275,2700,693,5445
7.28333,2683,697,5452
7.29167,2661,702,5455
7.3,2634,709,5450
7.30833,2602,719,5440
7.31667,2566,733,5424
7.325,2524,750,5401
7.33333,2477,772,5372
7.34167,2426,801,5336
7.35,2371,836,5293
7.35833,2313,879,5245
7.36667,2252,933,5191
7.375,2189,996,5133
7.38333,2123,1072,5069
7.39167,2056,1162,4999
