gene_id,Toxin_Nontoxin,Toxin_Class,Icenc-SB0587.genes.results
Toxin_Icenc-SB0587_3FTx_Ngen8093,Toxin,3FTx,1101.57
Toxin_Icenc-SB0587_CNP_trinity73679,Toxin,CNP,3057.32
Toxin_Icenc-SB0587_CRISP-1a_extender83,Toxin,CRISP,207270.83
Toxin_Icenc-SB0587_CTL-4_Ngen11918,Toxin,CTL,123.13
Toxin_Icenc-SB0587_CTL-2_Ngen6635,Toxin,CTL,147.28
Toxin_Icenc-SB0587_CTL-1_Ngen6988,Toxin,CTL,105.24
Toxin_Icenc-SB0587_CTL_trinity56679,Toxin,CTL,790.83
Toxin_Icenc-SB0587_CTL_Ngen3922,Toxin,CTL,1460.01
Toxin_Icenc-SB0587_CTL_Ngen3920,Toxin,CTL,5201.38
Toxin_Icenc-SB0587_CTL_Ngen11438,Toxin,CTL,22.6
Toxin_Icenc-SB0587_CTL_extender422,Toxin,CTL,13204.47
Toxin_Icenc-SB0587_Ficolin-5_extender158,Toxin,Ficolin,7042.16
Toxin_Icenc-SB0587_Ficolin-2_Ngen4323,Toxin,Ficolin,747.33
Toxin_Icenc-SB0587_Ficolin_Ngen3699,Toxin,Ficolin,1493.64
Toxin_Icenc-SB0587_HYAL_trinity36534,Toxin,HYAL,9.11
Toxin_Icenc-SB0587_HYAL_Ngen8491,Toxin,HYAL,91.24
Toxin_Icenc-SB0587_KUN-2_trinity19875,Toxin,KUN,31.41
Toxin_Icenc-SB0587_KUN-1_Ngen4961,Toxin,KUN,896.83
Toxin_Icenc-SB0587_NUC-1_Ngen2821,Toxin,NUC,452.7
Toxin_Icenc-SB0587_PLA2InhAlpha_extender423,Toxin,PLA2Inh,5802.59
Toxin_Icenc-SB0587_PLB_Consensus,Toxin,PLB,1459.7
Toxin_Icenc-SB0587_ProproteinConvertaseSubtilisinKexin_Consensus,Toxin,Proprotein,30
Toxin_Icenc-SB0587_SVMPIII_extender79,Toxin,SVMPIII,64622.17
Toxin_Icenc-SB0587_SVMPIII_extender6,Toxin,SVMPIII,72141.5
Toxin_Icenc-SB0587_SVMPIII_extender47,Toxin,SVMPIII,38800.67
Toxin_Icenc-SB0587_SVMPIII_extender415,Toxin,SVMPIII,28538.7
Toxin_Icenc-SB0587_SVMPIII_extender141,Toxin,SVMPIII,43639.7
Toxin_Icenc-SB0587_VEGF-1_Ngen1849,Toxin,VEGF,100.53
Toxin_Icenc-SB0587_Vespryn_Ngen3655,Toxin,Vespryn,288.28
Toxin_Icenc-SB0587_VF-1_trinity43850,Toxin,VF,163.5
Toxin_Icenc-SB0587_Waprin_trin46122,Toxin,Waprin,18.21
Toxin_Icenc-SB0587_Waprin_Ngen2843,Toxin,Waprin,170.02
Icenc-SB0587_VF-CCZ1_Icenc-SB0587,Nontoxin,Nontoxin,44.91
Icenc-SB0587_ZnFinger-Xchromosome_Icenc-SB0587,Nontoxin,Nontoxin,20.26
Icenc-SB0587_ZnFinger-CCCH-14_Icenc-SB0587,Nontoxin,Nontoxin,25.7
Icenc-SB0587_ZIP9_Icenc-SB0587,Nontoxin,Nontoxin,13.22
Icenc-SB0587_ZIP11_Icenc-SB0587,Nontoxin,Nontoxin,58
Icenc-SB0587_ZFSNAI2_Icenc-SB0587,Nontoxin,Nontoxin,4.53
Icenc-SB0587_ZFBTB5_Icenc-SB0587,Nontoxin,Nontoxin,11.04
Icenc-SB0587_ZFBTB1_Icenc-SB0587,Nontoxin,Nontoxin,25.94
Icenc-SB0587_ZF750_Icenc-SB0587,Nontoxin,Nontoxin,42.29
Icenc-SB0587_ZF704_Icenc-SB0587,Nontoxin,Nontoxin,9.23
Icenc-SB0587_ZF639_Icenc-SB0587,Nontoxin,Nontoxin,20.16
